Reproduced origin time,Reproduced latitude,Reproduced longitude,Reproduced depth (km),Ho et al. origin time,Origin time without near source,Latitude without near source,Longitude without near source,Depth without near source (km),Origin time with STAR,Latitude with STAR,Longitude with STAR,Depth with STAR (km)
2003-12-11T10:00:45.920632,-75.25302737941406,160.57778309243955,1.152344,2003-12-11T10:00:45.963649,2003-12-11T10:01:19.869006,-77.25804911771509,161.73385978674685,13.28125,2003-12-11T10:00:46.015860,-75.33405261825126,160.74581325289964,-1.660156
2003-12-11T16:01:52.433470,-75.06553812204379,160.18040136667514,-4.824219,2003-12-11T16:01:52.327354,2003-12-11T16:02:33.286065,-77.51871480456566,161.95769269559173,9.0625,2003-12-11T16:01:52.536795,-74.99548010915554,159.98808781776967,10.292969
2003-12-12T07:59:41.953180,-75.40613311483382,160.8685318448241,-1.660156,2003-12-12T07:59:42.158142,,,,,2003-12-12T07:59:41.930051,-75.39846728432337,160.85498520298967,-1.791992
2003-12-14T10:47:39.178834,-75.35827973529678,160.86025421961688,1.855469,2003-12-14T10:47:39.136401,2003-12-14T10:48:12.270412,-77.30178256887069,162.34639875977115,24.53125,2003-12-14T10:47:39.175176,-75.56621991059465,160.97573210833878,6.074219
2003-12-14T19:16:34.051694,-75.3505674938762,160.4677058539911,-1.396484,2003-12-14T19:16:34.168754,2003-12-14T19:17:06.369011,-77.33585201866912,162.29695025493018,27.34375,2003-12-14T19:16:34.089839,-75.33056503852141,160.429146811796,-0.341797
2003-12-15T13:04:53.192200,-75.22901806298682,160.53390156936894,0.361328,2003-12-15T13:04:53.236494,2003-12-15T13:05:26.568051,-77.329172799398,162.0690224162648,16.796875,2003-12-15T13:04:53.287951,-75.35650451091824,160.79985368619444,-4.033203
2003-12-15T16:53:01.769305,-75.38869780194925,160.8443479360835,-1.044922,2003-12-15T16:53:01.720430,2003-12-15T16:53:55.068021,-77.07053939387204,161.74351436432113,2.03125,2003-12-15T16:53:01.877666,-75.38563444360837,160.84300845779433,-0.297852
2003-12-15T17:46:57.057210,-75.2268281362556,160.49655980791456,0.449219,2003-12-15T17:46:57.060429,2003-12-15T17:47:30.887472,-77.19894203678693,161.95648547751867,13.28125,2003-12-15T17:46:57.383587,-75.37622672364529,160.8096812257534,-2.802734
2003-12-15T19:55:13.149959,-75.35712129591766,160.84706030650148,1.855469,2003-12-15T19:55:12.892667,2003-12-15T19:56:07.458199,-77.10707571669516,161.85669836280317,2.734375,2003-12-15T19:55:13.215334,-75.35846242402793,160.84891474417395,2.998047
2003-12-15T20:44:45.232540,-75.31579474853238,160.8594288703172,1.152344,2003-12-15T20:44:45.157566,2003-12-15T20:45:46.414269,-77.30449818417422,161.59612441176486,0.625,2003-12-15T20:44:45.248888,-75.39180202592355,160.9067524551627,-2.451172
2003-12-16T06:00:00.766039,-75.37550035921096,160.8550951066991,-4.384766,2003-12-16T06:00:00.698841,,,,,2003-12-16T06:00:01.000248,-75.38680768890765,160.87657584886844,-2.802734
2003-12-17T04:10:44.247434,-75.38275287372933,160.83031078325223,-4.384766,2003-12-17T04:10:44.200355,,,,,2003-12-17T04:10:44.392053,-75.38371347582752,160.83454276406613,-3.374023
2003-12-21T05:27:02.847758,-75.1328052900302,161.78844046526345,-0.957031,2003-12-21T05:27:02.739038,2003-12-21T05:27:37.637211,-77.2677059518296,162.39558051861667,10.46875,2003-12-21T05:27:08.465161,-75.4950731614702,161.79129170299828,2.998047
2003-12-21T14:17:38.393362,-75.14373322027683,161.58594919545394,0.800781,2003-12-21T14:17:43.499958,2003-12-21T14:18:12.601108,-77.2677059518296,162.39558051861667,10.46875,2003-12-21T14:17:43.494778,-75.47954337218388,161.67446520150074,1.152344
2003-12-22T09:00:34.604615,-75.10021414061013,160.7143916289419,6.074219,2003-12-22T09:00:34.498502,,,,,2003-12-22T09:00:34.707743,-75.08948202543112,160.69992317996397,13.105469
2003-12-23T07:47:45.817937,-75.39043552712957,160.86418249800676,2.294922,2003-12-23T07:47:45.557504,,,,,,,,
2003-12-23T12:04:02.646643,-75.39848188637562,160.87534944019893,0.888672,2003-12-23T12:04:02.736510,,,,,2003-12-23T12:04:02.614312,-75.39311769241365,160.86790343075637,0.712891
2003-12-23T14:27:16.932323,-75.37528298732316,161.23241918866512,27.958984,2003-12-23T14:27:16.881066,,,,,2003-12-23T14:27:17.068127,-75.37900943685334,161.05743048564023,14.599609
2003-12-23T16:15:45.509897,-75.26685451199751,159.85056146003714,42.285156,2003-12-23T16:15:45.478939,,,,,2003-12-23T16:15:48.235312,-75.29512625527583,160.4160298349852,19.785156
2003-12-25T20:20:12.218589,-75.392749808158,160.89063599397608,1.064453,2003-12-25T20:20:11.963016,,,,,2003-12-25T20:20:12.194326,-75.39006801766857,160.88691093904154,0.888672
2003-12-29T05:52:55.237024,-75.38470429985037,160.8794649733362,0.712891,2003-12-29T05:52:55.211328,,,,,2003-12-29T05:52:55.288163,-75.38001089235155,160.87295430796323,1.108398
2003-12-30T10:14:08.455168,-75.38833227943901,160.8670741500473,1.943359,2003-12-30T10:14:08.427809,,,,,2003-12-30T10:14:08.438956,-75.38430903122122,160.8614953515715,1.679688
2003-12-30T16:41:12.875404,-75.39790315159041,160.86873326071267,0.537109,2003-12-30T16:41:12.836829,,,,,2003-12-30T16:41:12.898770,-75.38813433659524,160.85808714275342,0.668945
2012-11-23T17:28:53.210758,-75.39967259432625,161.09224324445756,108.90625,2012-11-23T17:28:53.557317,,,,,,,,
2012-11-27T17:56:13.604448,-75.39354885908743,160.96731345110257,-4.648438,2012-11-27T17:56:12.843233,2012-11-27T17:56:13.603175,-75.39354885908743,160.96731345110257,-4.648438,2012-11-27T17:56:14.228132,-75.3727827562179,160.81072489220907,-4.824219
2012-11-28T16:12:36.553217,-75.3112354055541,158.94584349915118,36.132812,2012-11-28T16:12:26.804994,2012-11-28T16:12:28.151335,-75.35906899602105,160.89612978676791,-4.648438,2012-11-28T16:12:27.681148,-75.35523093135436,160.87921764695622,-4.824219
2012-11-30T08:57:55.337110,-75.17219454534865,159.97881254411735,114.882812,2012-11-30T08:57:55.508465,,,,,2012-11-30T08:57:54.272501,-75.447286205088,160.69264564750696,-4.824219
2012-12-01T06:12:11.331620,-75.17541793784685,161.05691896166266,115.585938,2012-12-01T06:12:10.513044,,,,,,,,
2012-12-02T03:58:28.978603,-75.34443035600577,160.78321928166247,113.828125,2012-12-02T03:58:29.063670,,,,,2012-12-02T03:58:29.959831,-75.41044462578863,160.7698361892158,-4.912109
2012-12-03T13:02:42.410422,-75.26591196839601,160.25056143520936,108.378906,2012-12-03T13:02:41.948066,,,,,2012-12-03T13:02:42.412961,-75.26591196839601,160.25056143520936,108.378906
2012-12-05T11:04:42.420002,-75.3843940390763,160.2009590072473,-4.824219,2012-12-05T11:04:41.249041,2012-12-05T11:04:40.641713,-75.33696231695399,160.46086740860733,122.441406,2012-12-05T11:04:41.588569,-75.50191036179284,160.6162139861264,-4.824219
2012-12-07T02:14:47.336918,-75.28017668221527,160.40746159290708,116.113281,2012-12-07T02:14:47.277155,,,,,2012-12-07T02:14:47.330248,-75.28017668221527,160.40746159290708,116.113281
2012-12-08T06:13:31.872905,-75.422129933269,160.5417644830963,-4.648438,2012-12-08T06:13:31.588160,2012-12-08T06:13:31.993987,-75.4137327476315,160.55353918643934,-4.648438,2012-12-08T06:13:30.802819,-75.50451690554637,159.90800321068687,-0.957031
2012-12-08T11:11:35.508067,-75.22797262818153,160.69310101453001,112.070312,2012-12-08T11:11:35.143833,,,,,,,,
2012-12-09T03:33:02.306831,-75.20965159759288,160.72555312572,132.285156,2012-12-09T03:33:02.890923,,,,,2012-12-09T03:33:02.308430,-75.20965159759288,160.72555312572,132.285156
2012-12-09T05:43:10.236959,-75.43467792225519,160.710201448663,-4.824219,2012-12-09T05:43:07.135347,2012-12-09T05:43:08.084244,-75.31800762109222,160.53910485553942,128.242188,2012-12-09T05:43:10.078952,-75.4496207364505,160.71917587807513,-4.824219
2012-12-09T16:53:43.006835,-75.29550711264318,160.5777825577826,111.191406,2012-12-09T16:53:43.362403,,,,,,,,
2012-12-13T19:13:32.997042,-75.34005055732399,160.0266964308813,-4.824219,2012-12-13T19:13:30.988692,2012-12-13T19:13:32.624720,-75.43420414210556,160.46522695727356,-4.648438,2012-12-13T19:13:31.777951,-75.51148530090849,160.61771872406644,-4.824219
2012-12-13T20:36:00.848986,-75.28776260760083,161.29439577354344,120.332031,2012-12-13T20:36:00.691286,,,,,2012-12-13T20:36:01.677429,-75.42874742954771,161.460256291409,-4.824219
2012-12-14T14:56:49.096698,-75.45787517131654,160.43925153878706,-4.824219,2012-12-14T14:56:47.744786,2012-12-14T14:56:48.004896,-75.36704379739797,160.55947580963027,114.179688,2012-12-14T14:56:48.471942,-75.4481907003816,160.39700395816908,-4.912109
2012-12-16T14:00:49.929184,-75.298530253089,160.55883409215755,104.511719,2012-12-16T14:00:49.854993,,,,,2012-12-16T14:00:49.927743,-75.298530253089,160.55883409215755,104.511719
2012-12-18T11:34:51.599136,-75.32673380777663,160.50476204723202,128.417969,2012-12-18T11:34:51.635906,,,,,2012-12-18T11:34:51.599433,-75.32673380777663,160.50476204723202,128.417969
2012-12-18T11:35:21.342602,-75.29237687945698,160.78102819832293,124.726562,2012-12-18T11:35:21.948088,,,,,2012-12-18T11:35:23.344196,-75.38199140194983,160.8350619928186,-4.648438
2012-12-19T02:24:22.170031,-75.62550549271637,161.65216021306506,28.046875,2012-12-19T02:24:21.220796,,,,,,,,
2012-12-20T14:44:29.909722,-75.25514617862528,160.23627044913167,103.457031,2012-12-20T14:44:30.125394,,,,,2012-12-20T14:44:29.910815,-75.25514617862528,160.23627044913167,103.457031
2012-12-21T09:31:59.464364,-75.43757757351757,160.60942089975475,104.335938,2012-12-21T09:31:58.910983,,,,,2012-12-21T09:31:59.257861,-75.53345272847696,160.70666919415316,-4.824219
2012-12-23T13:25:38.693237,-75.30092242166384,161.0931254743896,-4.648438,2012-12-23T13:25:37.141182,,,,,2012-12-23T13:25:38.142969,-75.33915247539099,161.1814555914637,-4.824219
2012-12-27T00:05:03.917767,-75.29275727839658,160.389830188895,117.167969,2012-12-27T00:05:04.299523,2012-12-27T00:05:03.926289,-75.29275727839658,160.389830188895,117.167969,2012-12-27T00:05:03.893976,-75.29275727839658,160.389830188895,117.519531
2012-12-28T01:12:49.264998,-75.41415849077735,161.20589709915976,112.773438,2012-12-28T01:12:49.220876,,,,,2012-12-28T01:12:49.419917,-75.54876699917993,161.35122679572606,91.679688
2012-12-28T06:16:16.240932,-75.4009576704632,160.489706846887,123.496094,2012-12-28T06:16:16.332508,2012-12-28T06:16:16.241378,-75.4009576704632,160.489706846887,123.496094,2012-12-28T06:16:18.092220,-75.47990938505421,160.52759720412513,-4.824219
2012-12-28T08:55:53.876975,-75.35386480174094,160.12566805770697,-4.824219,2012-12-28T08:55:52.040343,2012-12-28T08:55:52.297769,-75.31631058936763,160.46760093801066,115.234375,2012-12-28T08:55:52.355737,-75.4671275913027,160.65003866151727,-4.824219
2012-12-28T11:07:54.970793,-75.39117602513963,160.40688580910816,-4.648438,2012-12-28T11:07:53.304615,,,,,2012-12-28T11:07:54.254346,-75.44866490163446,160.60134488810473,-4.824219
2012-12-31T07:33:17.192867,-75.21059575594036,160.92187858204255,124.726562,2012-12-31T07:33:17.314474,,,,,,,,
2012-12-31T17:49:56.813034,-75.48289512983702,160.6951442792739,-4.648438,2012-12-31T17:49:54.876650,,,,,,,,
2013-01-01T16:39:51.222509,-75.2754338720298,160.35512741706887,115.761719,2013-01-01T16:39:50.643717,,,,,2013-01-01T16:39:51.224748,-75.2754338720298,160.35512741706887,115.761719
2013-01-01T21:49:11.652365,-75.26229695724186,160.31461722952298,108.378906,2013-01-01T21:49:11.448296,,,,,,,,
2013-01-04T04:52:42.166588,-75.31791534471739,160.35447578836303,128.417969,2013-01-04T04:52:41.724036,2013-01-04T04:52:42.167065,-75.31791534471739,160.35447578836303,128.417969,,,,
2013-01-04T09:11:10.620106,-75.33518000358323,161.32669514127923,115.234375,2013-01-04T09:11:10.208976,2013-01-04T09:11:10.620281,-75.33518000358323,161.32669514127923,115.234375,,,,
2013-01-06T11:35:31.697210,-75.36568220986845,160.65026601944638,116.289062,2013-01-06T11:35:30.551568,2013-01-06T11:35:31.696498,-75.36568220986845,160.65026601944638,116.289062,2013-01-06T11:35:32.076045,-75.49894780910968,160.67643171306088,-4.912109
